datetime_beginning_utc,system_energy_price_da
01-01-2022 05:00,21.02
01-01-2022 06:00,18.43
01-01-2022 07:00,18.11
01-01-2022 08:00,18.15
01-01-2022 09:00,17.7
01-01-2022 10:00,17.67
01-01-2022 11:00,17.72
01-01-2022 12:00,18.24
01-01-2022 13:00,20.03
01-01-2022 14:00,21.78
01-01-2022 15:00,25.95
01-01-2022 16:00,26.3
01-01-2022 17:00,26.02
01-01-2022 18:00,25.73
01-01-2022 19:00,25.21
01-01-2022 20:00,24.04
01-01-2022 21:00,25.9
01-01-2022 22:00,28.7
01-01-2022 23:00,27.93
01-02-2022 00:00,26.49
01-02-2022 01:00,26.7
01-02-2022 02:00,26.43
01-02-2022 03:00,24.39
01-02-2022 04:00,21.89
01-02-2022 05:00,21.93
01-02-2022 06:00,20.72
01-02-2022 07:00,20.62
01-02-2022 08:00,20.54
01-02-2022 09:00,20.29
01-02-2022 10:00,20.83
01-02-2022 11:00,21.24
01-02-2022 12:00,22.18
01-02-2022 13:00,24.11
01-02-2022 14:00,26.71
01-02-2022 15:00,27.12
01-02-2022 16:00,27.43
01-02-2022 17:00,27.3
01-02-2022 18:00,27.13
01-02-2022 19:00,27.03
01-02-2022 20:00,27.24
01-02-2022 21:00,30.55
01-02-2022 22:00,39.06
01-02-2022 23:00,37.66
01-03-2022 00:00,37.54
01-03-2022 01:00,37.2
01-03-2022 02:00,36.96
01-03-2022 03:00,36.49
01-03-2022 04:00,29.76
01-03-2022 05:00,29.15
01-03-2022 06:00,28.73
01-03-2022 07:00,28.47
01-03-2022 08:00,28.98
01-03-2022 09:00,30.06
01-03-2022 10:00,34.3
01-03-2022 11:00,41.78
01-03-2022 12:00,49.44
01-03-2022 13:00,47.41
01-03-2022 14:00,45.92
01-03-2022 15:00,45.89
01-03-2022 16:00,46.21
01-03-2022 17:00,41.71
01-03-2022 18:00,39.79
01-03-2022 19:00,36.53
01-03-2022 20:00,36.11
01-03-2022 21:00,46.19
01-03-2022 22:00,66.3
01-03-2022 23:00,54.44
01-04-2022 00:00,50
01-04-2022 01:00,45.46
01-04-2022 02:00,45.6
01-04-2022 03:00,41.46
01-04-2022 04:00,35.67
01-04-2022 05:00,42.38
01-04-2022 06:00,42.3
01-04-2022 07:00,41.43
01-04-2022 08:00,40.99
01-04-2022 09:00,44.77
01-04-2022 10:00,47.75
01-04-2022 11:00,62.36
01-04-2022 12:00,81.7
01-04-2022 13:00,56.76
01-04-2022 14:00,42.44
01-04-2022 15:00,45.91
01-04-2022 16:00,43.06
01-04-2022 17:00,41.38
01-04-2022 18:00,41.22
01-04-2022 19:00,40.52
01-04-2022 20:00,40.38
01-04-2022 21:00,42.25
01-04-2022 22:00,52.43
01-04-2022 23:00,50.25
01-05-2022 00:00,49.79
01-05-2022 01:00,46.75
01-05-2022 02:00,44.57
01-05-2022 03:00,41.9
01-05-2022 04:00,39.54
01-05-2022 05:00,46.15
01-05-2022 06:00,44.09
01-05-2022 07:00,42.62
01-05-2022 08:00,40.65
01-05-2022 09:00,42.16
01-05-2022 10:00,45.48
01-05-2022 11:00,52.76
01-05-2022 12:00,57.6
01-05-2022 13:00,53.43
01-05-2022 14:00,48.95
01-05-2022 15:00,41.44
01-05-2022 16:00,40.27
01-05-2022 17:00,39.4
01-05-2022 18:00,38.76
01-05-2022 19:00,38.72
01-05-2022 20:00,38.66
01-05-2022 21:00,39.89
01-05-2022 22:00,50.68
01-05-2022 23:00,46.16
01-06-2022 00:00,42.16
01-06-2022 01:00,40.28
01-06-2022 02:00,39.6
01-06-2022 03:00,38.32
01-06-2022 04:00,35.26
01-06-2022 05:00,37.31
01-06-2022 06:00,35.74
01-06-2022 07:00,35.08
01-06-2022 08:00,36.23
01-06-2022 09:00,37.62
01-06-2022 10:00,39.13
01-06-2022 11:00,49.8
01-06-2022 12:00,57.58
01-06-2022 13:00,53.98
01-06-2022 14:00,49.28
01-06-2022 15:00,52.48
01-06-2022 16:00,50.09
01-06-2022 17:00,47.96
01-06-2022 18:00,45.86
01-06-2022 19:00,46.12
01-06-2022 20:00,46.28
01-06-2022 21:00,53.22
01-06-2022 22:00,69.03
01-06-2022 23:00,64.1
01-07-2022 00:00,60.61
01-07-2022 01:00,57.48
01-07-2022 02:00,53.45
01-07-2022 03:00,49.26
01-07-2022 04:00,45.22
01-07-2022 05:00,45.27
01-07-2022 06:00,44.42
01-07-2022 07:00,44.16
01-07-2022 08:00,46.34
01-07-2022 09:00,47.8
01-07-2022 10:00,50.36
01-07-2022 11:00,59.35
01-07-2022 12:00,84.89
01-07-2022 13:00,68.78
01-07-2022 14:00,58.9
01-07-2022 15:00,90.74
01-07-2022 16:00,83.09
01-07-2022 17:00,70.91
01-07-2022 18:00,65.79
01-07-2022 19:00,60.81
01-07-2022 20:00,67.02
01-07-2022 21:00,83.12
01-07-2022 22:00,110.96
01-07-2022 23:00,106.48
01-08-2022 00:00,97.4
01-08-2022 01:00,87.24
01-08-2022 02:00,80.37
01-08-2022 03:00,75.01
01-08-2022 04:00,76.07
01-08-2022 05:00,66.3
01-08-2022 06:00,65.37
01-08-2022 07:00,63.74
01-08-2022 08:00,61.39
01-08-2022 09:00,60.64
01-08-2022 10:00,65.26
01-08-2022 11:00,67.87
01-08-2022 12:00,79.13
01-08-2022 13:00,69.7
01-08-2022 14:00,58.11
01-08-2022 15:00,51.75
01-08-2022 16:00,43.55
01-08-2022 17:00,41.36
01-08-2022 18:00,39.53
01-08-2022 19:00,38.77
01-08-2022 20:00,39.14
01-08-2022 21:00,41.3
01-08-2022 22:00,55.86
01-08-2022 23:00,53.31
01-09-2022 00:00,50.4
01-09-2022 01:00,48.24
01-09-2022 02:00,48.03
01-09-2022 03:00,43.42
01-09-2022 04:00,42.96
01-09-2022 05:00,44.35
01-09-2022 06:00,41.81
01-09-2022 07:00,40.75
01-09-2022 08:00,39.99
01-09-2022 09:00,39.08
01-09-2022 10:00,39.18
01-09-2022 11:00,38.81
01-09-2022 12:00,38.49
01-09-2022 13:00,39.29
01-09-2022 14:00,41.66
01-09-2022 15:00,41.86
01-09-2022 16:00,41.3
01-09-2022 17:00,39.47
01-09-2022 18:00,38.92
01-09-2022 19:00,38.66
01-09-2022 20:00,38.54
01-09-2022 21:00,41.25
01-09-2022 22:00,52.5
01-09-2022 23:00,50.08
01-10-2022 00:00,45.83
01-10-2022 01:00,43.13
01-10-2022 02:00,42.64
01-10-2022 03:00,41.81
01-10-2022 04:00,38.69
01-10-2022 05:00,37.32
01-10-2022 06:00,37.31
01-10-2022 07:00,37.47
01-10-2022 08:00,37.6
01-10-2022 09:00,39.95
01-10-2022 10:00,42.59
01-10-2022 11:00,52.8
01-10-2022 12:00,63.17
01-10-2022 13:00,59.61
01-10-2022 14:00,54.37
01-10-2022 15:00,52.98
01-10-2022 16:00,51.1
01-10-2022 17:00,49.62
01-10-2022 18:00,48.14
01-10-2022 19:00,46.73
01-10-2022 20:00,47.54
01-10-2022 21:00,51.87
01-10-2022 22:00,77.21
01-10-2022 23:00,71.73
01-11-2022 00:00,67.98
01-11-2022 01:00,65.27
01-11-2022 02:00,63.28
01-11-2022 03:00,58.31
01-11-2022 04:00,53.41
01-11-2022 05:00,55.44
01-11-2022 06:00,55.96
01-11-2022 07:00,55.59
01-11-2022 08:00,56.17
01-11-2022 09:00,55.9
01-11-2022 10:00,62.49
01-11-2022 11:00,83.18
01-11-2022 12:00,104.64
01-11-2022 13:00,72.44
01-11-2022 14:00,66.45
01-11-2022 15:00,81.01
01-11-2022 16:00,61.83
01-11-2022 17:00,54.44
01-11-2022 18:00,55.86
01-11-2022 19:00,53.39
01-11-2022 20:00,56.45
01-11-2022 21:00,69.37
01-11-2022 22:00,100.7
01-11-2022 23:00,89.53
01-12-2022 00:00,82.69
01-12-2022 01:00,72.29
01-12-2022 02:00,74.77
01-12-2022 03:00,71.91
01-12-2022 04:00,66
01-12-2022 05:00,57.82
01-12-2022 06:00,54.35
01-12-2022 07:00,53.38
01-12-2022 08:00,51.52
01-12-2022 09:00,52.55
01-12-2022 10:00,57.78
01-12-2022 11:00,67.84
01-12-2022 12:00,84.93
01-12-2022 13:00,60.58
01-12-2022 14:00,55.06
01-12-2022 15:00,45.2
01-12-2022 16:00,42.23
01-12-2022 17:00,40.69
01-12-2022 18:00,40.6
01-12-2022 19:00,39.94
01-12-2022 20:00,40.45
01-12-2022 21:00,42.5
01-12-2022 22:00,52.25
01-12-2022 23:00,51.25
1/13/2022 12:00:00 AM,48.19
1/13/2022 1:00:00 AM,45.23
1/13/2022 2:00:00 AM,44.39
1/13/2022 3:00:00 AM,41.59
1/13/2022 4:00:00 AM,39.76
1/13/2022 5:00:00 AM,42.28
1/13/2022 6:00:00 AM,40.97
1/13/2022 7:00:00 AM,40.83
1/13/2022 8:00:00 AM,39.91
1/13/2022 9:00:00 AM,40.83
1/13/2022 10:00:00 AM,41.91
1/13/2022 11:00:00 AM,52.25
1/13/2022 12:00:00 PM,59.92
1/13/2022 1:00:00 PM,54.6
1/13/2022 2:00:00 PM,48.51
1/13/2022 3:00:00 PM,47.01
1/13/2022 4:00:00 PM,44.04
1/13/2022 5:00:00 PM,42.64
1/13/2022 6:00:00 PM,42
1/13/2022 7:00:00 PM,41.57
1/13/2022 8:00:00 PM,42.25
1/13/2022 9:00:00 PM,44.15
1/13/2022 10:00:00 PM,55.42
1/13/2022 11:00:00 PM,52.82
1/14/2022 12:00:00 AM,49.96
1/14/2022 1:00:00 AM,47.84
1/14/2022 2:00:00 AM,46.4
1/14/2022 3:00:00 AM,43.22
1/14/2022 4:00:00 AM,41.6
1/14/2022 5:00:00 AM,43.14
1/14/2022 6:00:00 AM,42.21
1/14/2022 7:00:00 AM,41.21
1/14/2022 8:00:00 AM,41.52
1/14/2022 9:00:00 AM,41.84
1/14/2022 10:00:00 AM,42.75
1/14/2022 11:00:00 AM,51.49
1/14/2022 12:00:00 PM,60.07
1/14/2022 1:00:00 PM,54.78
1/14/2022 2:00:00 PM,48.28
1/14/2022 3:00:00 PM,58.89
1/14/2022 4:00:00 PM,55.23
1/14/2022 5:00:00 PM,53.23
1/14/2022 6:00:00 PM,51.94
1/14/2022 7:00:00 PM,50.7
1/14/2022 8:00:00 PM,52.03
1/14/2022 9:00:00 PM,57.33
1/14/2022 10:00:00 PM,67.6
